q             Gross        12xd=3      12xd=5      12xd=7      12xd=9     12xd=11     12xd=13   peggiori / migliori del Gross
0.005      9.60e-06      5.21e-03    5.40e-04    3.50e-05    3.40e-06    2.00e-07   <1.20e-07   [3, 5, 7] / [9, 11, 13]
0.01       9.82e-05      1.97e-02    3.00e-03    5.01e-04    6.76e-05    1.22e-05    1.60e-06   [3, 5, 7] / [9, 11, 13]
0.02       7.64e-04      7.39e-02    2.33e-02    7.28e-03    2.19e-03    6.05e-04    1.85e-04   [3, 5, 7, 9] / [11, 13]
0.03       3.07e-03      1.58e-01    7.32e-02    3.11e-02    1.40e-02    5.69e-03    2.76e-03   [3, 5, 7, 9, 11] / []
0.04       1.01e-02      2.64e-01    1.50e-01    8.51e-02    4.78e-02    2.82e-02    1.45e-02   [3, 5, 7, 9, 11, 13] / []
0.05       3.23e-02      3.73e-01    2.51e-01    1.78e-01    1.21e-01    7.99e-02    5.18e-02   [3, 5, 7, 9, 11, 13] / []
0.06       8.11e-02      4.82e-01    3.87e-01    2.83e-01    2.35e-01    1.80e-01    1.41e-01   [3, 5, 7, 9, 11, 13] / []
0.08       2.85e-01      6.53e-01    6.20e-01    5.77e-01    5.59e-01    5.22e-01    4.77e-01   [3, 5, 7, 9, 11, 13] / []
0.1        5.68e-01      7.71e-01    7.95e-01    8.01e-01    8.03e-01    8.15e-01    8.08e-01   [3, 5, 7, 9, 11, 13] / []

Salvato: artifacts/v2_20260926/analysis_M16_consolidata_20260926_042019.json
